"Timestamp","Username","Name","Age","  What is your field of study?  ","  How many hours do you study daily?  ","How many study breaks do you take per session?  ","Do you get easily distracted while studying?","  Do you keep your phone close while studying?  ","How long is each break on average? ","What do you do during your breaks? (Check all that apply)","On a scale of 1-10, how productive do you feel after taking breaks? (1 = not productive, 10 = very productive)","Do frequent breaks help you stay focused?  ","Do you follow a structured study method (e.g., Pomodoro technique i.e. break the work into small tasks with break intervals in between)? "
"2025/03/23 12:18:16 am GMT+5:30","neha.gupta22@gmail.com","Neha Gupta","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/23 12:27:44 am GMT+5:30","vikas.kumar19@yahoo.com","Vikas Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/23 12:36:22 am GMT+5:30","rekha.singh20@gmail.com","Rekha Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/23 12:45:48 am GMT+5:30","ankit.joshi18@outlook.com","Ankit Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/23 12:54:16 am GMT+5:30","shilpa.patel21@gmail.com","Shilpa Patel","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/23 1:03:42 am GMT+5:30","dinesh.verma19@yahoo.com","Dinesh Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 1:12:18 am GMT+5:30","riya.gupta20@gmail.com","Riya Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/23 1:21:46 am GMT+5:30","gaurav.sharma18@outlook.com","Gaurav Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/23 1:30:14 am GMT+5:30","monica.singh22@gmail.com","Monica Singh","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/23 1:39:42 am GMT+5:30","ajay.kumar19@yahoo.com","Ajay Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/23 1:48:18 am GMT+5:30","vandana.patel20@gmail.com","Vandana Patel","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/23 1:57:44 am GMT+5:30","deepak.joshi18@outlook.com","Deepak Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/23 2:06:12 am GMT+5:30","sapna.gupta21@gmail.com","Sapna Gupta","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/23 2:15:38 am GMT+5:30","nitin.verma19@yahoo.com","Nitin Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 2:24:16 am GMT+5:30","komal.singh20@gmail.com","Komal Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/23 2:33:42 am GMT+5:30","abhishek.sharma18@outlook.com","Abhishek Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/23 2:42:18 am GMT+5:30","pallavi.patel22@gmail.com","Pallavi Patel","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/23 2:51:44 am GMT+5:30","manoj.kumar19@yahoo.com","Manoj Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/23 3:00:12 am GMT+5:30","preeti.gupta20@gmail.com","Preeti Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/23 3:09:38 am GMT+5:30","ravi.joshi18@outlook.com","Ravi Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/23 3:18:16 am GMT+5:30","sonali.singh21@gmail.com","Sonali Singh","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/23 3:27:42 am GMT+5:30","alok.verma19@yahoo.com","Alok Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 3:36:18 am GMT+5:30","jyoti.patel20@gmail.com","Jyoti Patel","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/23 3:45:46 am GMT+5:30","saurabh.sharma18@outlook.com","Saurabh Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/23 3:54:14 am GMT+5:30","nisha.gupta22@gmail.com","Nisha Gupta","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/23 4:03:42 am GMT+5:30","vinod.kumar19@yahoo.com","Vinod Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/23 4:12:18 am GMT+5:30","rani.singh20@gmail.com","Rani Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/23 4:21:46 am GMT+5:30","vivek.joshi18@outlook.com","Vivek Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/23 4:30:12 am GMT+5:30","sangeeta.patel21@gmail.com","Sangeeta Patel","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/23 4:39:38 am GMT+5:30","anil.verma19@yahoo.com","Anil Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 4:48:16 am GMT+5:30","suman.gupta20@gmail.com","Suman Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/23 4:57:42 am GMT+5:30","prakash.sharma18@outlook.com","Prakash Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/23 5:06:18 am GMT+5:30","seema.singh22@gmail.com","Seema Singh","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/23 5:15:46 am GMT+5:30","rohit.kumar19@yahoo.com","Rohit Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/23 5:24:14 am GMT+5:30","manisha.patel20@gmail.com","Manisha Patel","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/23 5:33:42 am GMT+5:30","sunil.joshi18@outlook.com","Sunil Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/23 5:42:18 am GMT+5:30","kavita.gupta21@gmail.com","Kavita Gupta","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/23 5:51:44 am GMT+5:30","manish.verma19@yahoo.com","Manish Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 6:00:12 am GMT+5:30","anita.singh20@gmail.com","Anita Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
